AREA_NAME,YEAR,CATEGORY,POLICE_INJURED_BY_CRIMINALS,POLICE_INJURED_BY_RIOTOUS_MOBS,POLICE_INJURED_IN_ACCIDENTS,POLICE_INJURED_IN_DACOITY_OPERATIONSOTHER_RAIDS,POLICE_INJURED_IN_TERRORISTSEXTREMISTS_OPERATIONS,POLICE_INJURED_ON_BORDER_DUTIES,TOTAL_POLICEMEN_INJURED,POLICE_KILLED_BY_CRIMINALS,POLICE_KILLED_BY_RIOTOUS_MOBS,POLICE_KILLED_IN_ACCIDENTS,POLICE_KILLED_IN_DACOITY_OPERATIONSOTHER_RAIDS,POLICE_KILLED_IN_TERRORISTSEXTREMISTS_OPERATIONS,POLICE_KILLED_ON_BORDER_DUTIES,TOTAL_POLICEMEN_KILLED
ANDHRA PRADESH,2002, ASSISTANT SUB-INSPECTOS,0,1,0,0,1,0,2,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2002, ASSISTANT SUB-INSPECTOS,0,0,0,0,2,0,2,0,0,0,0,0,1,1
BIHAR,2002, ASSISTANT SUB-INSPECTOS,0,0,1,0,0,0,1,0,0,1,0,0,0,1
CHANDIGARH,2002, ASSISTANT SUB-INSPECTOS,0,1,0,0,0,0,1,0,0,0,0,0,0,0
CHHATTISGARH,2002, ASSISTANT SUB-INSPECTOS,0,1,0,0,0,0,1,0,0,0,0,2,0,2
DADRA & NAGAR HAVELI,2002, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2002, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2002, ASSISTANT SUB-INSPECTOS,2,4,1,0,0,0,7,0,0,0,0,0,0,0
GOA,2002, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
